name,price,old_price,link,image,discount,phase,site
Karambit,"R$ 45.200,00","R$ 60.000,00",/csgo/facas/karambit/doppler-gama-fn?itemId=43495565552,,-25%,FASE 2,Neshastore
Canivete Borboleta,"R$ 32.000,00","R$ 43.000,00",/csgo/facas/butterfly/doppler-fn?itemId=43446999238,,-26%,FASE 1,Neshastore
Canivete Borboleta,"R$ 31.879,99","R$ 43.000,00",/csgo/facas/butterfly/stattrak-degrade-fn?itemId=43357443563,,-26%,,Neshastore
Canivete Borboleta,"R$ 18.800,00","R$ 25.800,00",/csgo/facas/butterfly/massacre-fn?itemId=43286259152,,-27%,,Neshastore
M4A1-S,"R$ 8.999,99","R$ 12.000,00",/csgo/rifles/m4a1-s/arma-esportiva-fn?itemId=43533221542,,-25%,,Neshastore
M4A1-S,"R$ 8.999,99","R$ 12.000,00",/csgo/rifles/m4a1-s/arma-esportiva-fn?itemId=43533228979,,-25%,,Neshastore
AK-47,"R$ 8.814,39","R$ 12.200,00",/csgo/rifles/ak-47/serpente-de-fogo-mw?itemId=43446999219,,-28%,,Neshastore
Canivete Borboleta,"R$ 8.510,00","R$ 12.300,00",/csgo/facas/butterfly/sabedoria-ft?itemId=43333977845,,-31%,,Neshastore
Canivete Borboleta,"R$ 7.878,00","R$ 11.000,00",/csgo/facas/butterfly/manchado-mw?itemId=43520838513,,-28%,,Neshastore
Luvas Esportivas,"R$ 7.449,00","R$ 10.000,00",/csgo/luvas/sport-gloves/vicio-ft?itemId=43446999216,,-26%,,Neshastore
Canivete Borboleta,"R$ 7.200,00","R$ 9.500,00",/csgo/facas/butterfly/stattrak-mao-livre-ft?itemId=43533973970,,-24%,,Neshastore
Faixas,"R$ 6.560,00","R$ 8.500,00",/csgo/luvas/hand-wraps/caveiras-de-cobalto-mw?itemId=43538680379,,-23%,,Neshastore
Canivete Borboleta,"R$ 6.479,99","R$ 8.500,00",/csgo/facas/butterfly/revestimento-enferrujado-bs?itemId=43495871525,,-24%,,Neshastore
Karambit,"R$ 5.568,00","R$ 7.650,00",/csgo/facas/karambit/aguas-claras-ft?itemId=42931865983,,-27%,,Neshastore
AK-47,"R$ 5.544,00","R$ 7.200,00",/csgo/rifles/ak-47/vulcan-fn?itemId=43539766990,,-23%,,Neshastore
Faca Talon,"R$ 5.476,00","R$ 7.000,00",/csgo/facas/talon-knife/dente-de-tigre-fn?itemId=43309492809,,-22%,,Neshastore
Canivete Borboleta,"R$ 5.279,99","R$ 7.000,00",/csgo/facas/butterfly/mascara-urbana-ft?itemId=43518251878,,-25%,,Neshastore
Baioneta,"R$ 5.019,99","R$ 6.500,00",/csgo/facas/bayonet/doppler-fn?itemId=43518997451,,-23%,FASE 1,Neshastore
Canivete Borboleta,"R$ 4.942,08","R$ 7.000,00",/csgo/facas/butterfly/grade-de-safari-ww?itemId=43200055570,,-29%,,Neshastore
Baioneta,"R$ 4.920,00","R$ 6.400,00",/csgo/facas/bayonet/doppler-fn?itemId=43514865972,,-23%,FASE 3,Neshastore
Baioneta,"R$ 4.920,00","R$ 6.400,00",/csgo/facas/bayonet/doppler-fn?itemId=43520247832,,-23%,FASE 3,Neshastore
Faca Esqueleto,"R$ 4.799,99","R$ 6.450,00",/csgo/facas/faca-esqueleto/dente-de-tigre-fn?itemId=43299412536,,-26%,,Neshastore
Faca Esqueleto,"R$ 4.799,99","R$ 6.450,00",/csgo/facas/faca-esqueleto/dente-de-tigre-fn?itemId=43462498699,,-26%,,Neshastore
Baioneta,"R$ 4.468,00","R$ 5.650,00",/csgo/facas/bayonet/marmore-desbotado-fn?itemId=43391245798,,-21%,,Neshastore
Luvas de Motorista,"R$ 4.399,20","R$ 6.100,00",/csgo/luvas/driver-gloves/xadrez-imperial-mw?itemId=43283978662,,-28%,,Neshastore
Faca Nômade,"R$ 4.378,80","R$ 5.650,00",/csgo/facas/faca-nomade/marmore-desbotado-fn?itemId=43466215596,,-22%,,Neshastore
Faca Esqueleto,"R$ 4.339,20","R$ 6.000,00",/csgo/facas/faca-esqueleto/--ft?itemId=43304268473,,-28%,,Neshastore
Luvas Esportivas,"R$ 4.320,00","R$ 5.750,00",/csgo/luvas/sport-gloves/faquinha-ww?itemId=43538680354,,-25%,,Neshastore
M9 Baioneta,"R$ 4.180,00","R$ 5.900,00",/csgo/facas/m9-bayonet/revestimento-enferrujado-bs?itemId=43268213899,,-29%,,Neshastore
M4A1-S,"R$ 4.132,00","R$ 5.300,00",/csgo/rifles/m4a1-s/fosforo-azul-fn?itemId=43225250864,,-22%,,Neshastore
M4A1-S,"R$ 4.132,00","R$ 5.300,00",/csgo/rifles/m4a1-s/fosforo-azul-fn?itemId=43333977890,,-22%,,Neshastore
AK-47,"R$ 4.099,99","R$ 5.450,00",/csgo/rifles/ak-47/stattrak-aquecimento-de-aco-mw?itemId=43168467657,,-25%,,Neshastore
M9 Baioneta,"R$ 3.985,92","R$ 5.500,00",/csgo/facas/m9-bayonet/noite-ft?itemId=43299808115,,-28%,,Neshastore
Faca Esqueleto,"R$ 3.939,84","R$ 5.450,00",/csgo/facas/faca-esqueleto/teia-rubra-ft?itemId=43192916744,,-28%,,Neshastore
M9 Baioneta,"R$ 3.639,99","R$ 4.850,00",/csgo/facas/m9-bayonet/brasas-ft?itemId=43514636196,,-25%,,Neshastore
Faca Caçador,"R$ 3.318,37","R$ 4.400,00",/csgo/facas/huntsman/doppler-gama-fn?itemId=43011466778,,-25%,FASE 2,Neshastore
Faca Kukri,"R$ 3.280,00","R$ 4.400,00",/csgo/facas/faca-kukri/degrade-fn?itemId=43494028373,,-25%,,Neshastore
AK-47,"R$ 3.279,99","R$ 4.300,00",/csgo/rifles/ak-47/vulcan-mw?itemId=43465734809,,-24%,,Neshastore
Faca Nômade,"R$ 3.199,99","R$ 4.250,00",/csgo/facas/faca-nomade/massacre-mw?itemId=43514150936,,-25%,,Neshastore
Faca Talon,"R$ 3.195,50","R$ 4.050,00",/csgo/facas/talon-knife/aco-de-damasco-ft?itemId=43388422654,,-21%,,Neshastore
Canivete Falchion,"R$ 3.152,49","R$ 4.100,00",/csgo/facas/falchion/doppler-fn?itemId=43309225347,,-23%,FASE 1,Neshastore
